area,units_per_area,txmonth,number_in_area,tariff
PONIE CLOSE,212.3,Nov-24,1,Domestic
COLARADO PARK,519.6,Nov-24,2,Domestic
SPRINGBOK PARK,694.1,Nov-24,1,Domestic
NYANGA,11275.2,Nov-24,34,Home
SURREY ESTATE,15377.7,Nov-24,4,Small Power 1
DURBANVILLE EAST,20571.2,Nov-24,55,Home
VALHALLA PARK,12466.1,Nov-24,11,Small Power 2
BELLVILLE CENTRAL,21716.4,Nov-24,49,Home
HOUT BAY ,1837.3,Nov-24,9,Lifeline1
BISCHOPSCOURT,84349.1,Nov-24,82,Home
12 NCANDA STR,478.7,Nov-24,1,Domestic
PROTEA HEIGHTS,9556.9,Nov-24,40,Domestic
ST MONTGUE VILLAGE,1816.2,Nov-24,9,Lifeline1
HILLVIEW,2575.2,Nov-24,9,Lifeline2
HILL VIEW,1900.7,Nov-24,7,Lifeline2
SEA POINT,13641.1,Nov-24,50,Lifeline2
CENTURY CITY,27787.7,Nov-24,54,Small Power 2
BEACON VALLEY ,446.9,Nov-24,2,Domestic
CONSTANTIA VALE,42709.3,Nov-24,71,Home
ALSWEG,1811.2,Nov-24,7,Lifeline2
LEROTHOLI RD,3899.6,Nov-24,37,Lifeline1
CUSTER 5 SHERWOOD,349,Nov-24,1,Lifeline2
KENSINGTON,15909.7,Nov-24,4,Small Power 1
ANGLEBE 1 SHERWOOD,285.6,Nov-24,1,Lifeline2
HARDEKRAALTJIE,6087.9,Nov-24,25,Small Power 2
BLOUKRANS 24 SHERWOOD,151.5,Nov-24,1,Domestic
GLEN IVE,22918.3,Nov-24,49,Home
LWANDLE,3023.4,Nov-24,13,Home
OOSTERZEE,9572.8,Nov-24,44,Domestic
SAXONSEA,26698,Nov-24,5,Small Power 1
BELLVILLE SOUTH EXT.7,11323.6,Nov-24,27,Home
DURBANVILLE,13477.1,Nov-24,48,Lifeline2
BELGRAVIA ,5484.3,Nov-24,8,Home
GORDON STRAND,4510.2,Nov-24,16,Lifeline2
SCOTTSVILLE,7992.7,Nov-24,12,Small Power 2
THABO MBEKI WEST,2860.7,Nov-24,18,Lifeline2
7 PETUNIA ST,310.7,Nov-24,1,Domestic
THE PALMS,27346.4,Nov-24,55,Home
HOUT BAY ,4648.3,Nov-24,16,Lifeline2
DREYERSDAL,2806,Nov-24,9,Domestic
KOSOVO,3738.4,Nov-24,8,Domestic
GLENHAVEN,2570.9,Nov-24,5,Small Power 2
CHARLES NDABA,1110.9,Nov-24,6,Domestic
PRIMROSE PARK,5648.1,Nov-24,12,Small Power 2
WELCOME ESTATE,3343.1,Nov-24,9,Lifeline2
OKAVANGO PARK,21135.8,Nov-24,8,Small Power 1
PEERLESS PARK NORTH,10318.3,Nov-24,31,Lifeline2
KRAAIFONTEIN,19852,Nov-24,5,Small Power 1
PHILIPPI EAST,3747.3,Nov-24,24,Lifeline2
BELGRAVIA ESTATE,3329.7,Nov-24,26,Lifeline1
GOODWOOD,16461.3,Nov-24,49,Lifeline2
TABLE MOUNTAIN RESERVE,2043.2,Nov-24,9,Domestic
LENTEGEUR,17788.3,Nov-24,7,Small Power 1
RIGOLETTOSTRAAT,1587.9,Nov-24,7,Lifeline2
LYNN'S VIEW,37642.6,Nov-24,77,Home
ZWELITSHA DRIVE,1994.3,Nov-24,10,Lifeline2
ATLANTIC BEACH ESTATE,37060.4,Nov-24,66,Home
ROUNDHAY,24659.8,Nov-24,74,Home
GUGULETU ,2610.3,Nov-24,19,Lifeline1
MONTROSE PARK,2507,Nov-24,9,Lifeline2
DURMONTE     DURBANVILLE,21684.4,Nov-24,48,Home
BELLVILLE CENTRAL,11258.2,Nov-24,18,Domestic
KLIPDAM,3682.9,Nov-24,8,Small Power 2
HANOVER PARK,12476.7,Nov-24,5,Small Power 1
FAIRFIELD,9357.6,Nov-24,45,Lifeline2
RYLANDS,4461.6,Nov-24,23,Lifeline1
BROADLANDS,3011.8,Nov-24,9,Lifeline2
AMANDA GLEN,5308,Nov-24,17,Domestic
BOKMAKIERIE,1430.1,Nov-24,5,Domestic
SIMONS TOWN,3208.5,Nov-24,22,Lifeline1
SIMONS TOWN,25291.8,Nov-24,67,Home
TABLE MOUNTAIN RESERVE,2483.9,Nov-24,10,Lifeline2
MIMOSA,3057.4,Nov-24,6,Domestic
8TH AVENUE 62     RAVENSMEAD,1809.3,Nov-24,8,Lifeline2
MALGAS 36 ROBINVALE,323.3,Nov-24,1,Domestic
HEIDEVELD,5529.7,Nov-24,15,Small Power 2
EXT 6     MFULENI,3434.2,Nov-24,19,Lifeline2
FAIRFIELD,4623.2,Nov-24,12,Small Power 2
LOUMAR,15456.2,Nov-24,32,Home
RICHMOND ESTATE,22833.8,Nov-24,6,Small Power 1
FORTUNE 4 AVONDALE,514.2,Nov-24,1,Domestic
BELHAR EXT 18,3949.4,Nov-24,11,Lifeline2
HOUT BAY ,2801.1,Nov-24,6,Domestic
FAIRVIEW GOLF ESTATE,17772.2,Nov-24,52,Home
GORDONS STRAND ESTAE,17154,Nov-24,41,Home
RONDEBOSCH,11506.2,Nov-24,45,Lifeline2
OCEAN VIEW,6025,Nov-24,19,Small Power 2
ASANDA VILLAGE     LWANDLE,3193,Nov-24,5,Domestic
HELDERBERG ESTATE,42079.5,Nov-24,73,Home
SIMONS TOWN,3937.4,Nov-24,21,Lifeline2
BEROMA,14857.2,Nov-24,27,Home
WILDWOOD,6521.5,Nov-24,21,Domestic
KRAAIFONTEIN EXT.17,11362.1,Nov-24,22,Home
UNKNOWN,3803.9,Nov-24,12,Domestic
KAAPSIG,22499.3,Nov-24,62,Home
HEATHFIELD 94 PROTEAPARK,318.6,Nov-24,1,Domestic
PROTEAVALLEI,45379.5,Nov-24,84,Home
EVERGLEN,20816.2,Nov-24,45,Home
VALMARY PARK,50836,Nov-24,70,Home
SURREY ESTATE ,5486.9,Nov-24,15,Home
CHRIS NISSEN PARK,1773.4,Nov-24,7,Lifeline2
MANDALAY,6642.1,Nov-24,19,Home
AVONDALE(1),12811.2,Nov-24,17,Small Power 2
SYBILLE 37 SAXONSEA,123.5,Nov-24,1,Domestic
BRACKENFELL INDUSTRA,12837.4,Nov-24,17,Small Power 2
15 JEANNE CRES,176.7,Nov-24,1,Domestic
WESTLAKE,14471.5,Nov-24,40,Small Power 2
ZEEKOEIVLEI,2267.3,Nov-24,9,Lifeline1
SCHAAPKRAAL,343,Nov-24,1,Lifeline2
VAN DER MERWE PARK,3430.5,Nov-24,16,Domestic
MARINA DA GAMA,3591.3,Nov-24,2,Small Power 2
BROADLANDS VILLAGE,2512.8,Nov-24,8,Home
PARKTOWN,2633.4,Nov-24,8,Domestic
55 FIRST AVENUE,2879.6,Nov-24,14,Domestic
LUYOLOVILLE,883.1,Nov-24,9,Domestic
COSTA DA GAMA/CAPRICORN/VRYGROND,22813.2,Nov-24,23,Small Power 2
FIR GROVE,43388.6,Nov-24,64,Home
CHANTECLER,22106.1,Nov-24,41,Home
DISTRICT SIX,7403.3,Nov-24,39,Lifeline1
CHAPMAN'S PEAK(NOORDHOEK),32286.5,Nov-24,53,Home
GLENHAVEN,6703.3,Nov-24,23,Domestic
STEENBERG GOLF ESTATE,70942.8,Nov-24,80,Home
PRIMROSE PARK,6354.6,Nov-24,19,Lifeline2
9 5TH AVE,252,Nov-24,1,Domestic
WELCOME,3400.2,Nov-24,5,Small Power 2
VRYGROND AVE,3291.1,Nov-24,6,Domestic
GORDONS BAY EXT 12,27550.5,Nov-24,51,Home
SILVERTOWN,4279.5,Nov-24,7,Small Power 2
FORTUNE 23 AVONDALE,392.5,Nov-24,1,Domestic
GOODWOOD,6244.8,Nov-24,17,Domestic
KRAAIFONTEIN,5848.4,Nov-24,13,Small Power 2
HEATHFIELD,10254,Nov-24,44,Lifeline1
SEA POINT,82521.5,Nov-24,21,Small Power 1
KUILSRIVIER SOUTH SMALLHO,4074.5,Nov-24,27,Lifeline1
GOEDE HOOP,20398.3,Nov-24,41,Home
THREE ANCHOR BAY,38416.6,Nov-24,7,Small Power 1
ATLANTIC VILLAGE,873.1,Nov-24,3,Domestic
RETREAT INDUSTRIAL AREA,15432.7,Nov-24,28,Small Power 2
EXT.18     BELHAR,1378.4,Nov-24,4,Domestic
ST MONTAGUE VILLAGE,3270.1,Nov-24,6,Domestic
GUGULETU NORTH,1550.5,Nov-24,7,Domestic
PHASE 3,1587.2,Nov-24,6,Lifeline2
ATHLONE INDUSTRIA,5246.8,Nov-24,7,Small Power 2
BEACON VALLEY ,290,Nov-24,1,Lifeline2
WINDSORPARK,8261.8,Nov-24,18,Home
BELTHORN ESTATE,6933.9,Nov-24,20,Lifeline2
ZONNEBLOEM (DISTRICT SIX),18301.5,Nov-24,4,Small Power 1
Manenberg ,489.3,Nov-24,1,Domestic
ROSEBANK,11199.2,Nov-24,22,Small Power 2
LOCHNERHOF,19683.2,Nov-24,48,Home
KALKFONTEIN,4720.4,Nov-24,4,Home
DATURA 37,497.1,Nov-24,1,Domestic
AVONDALE,1506.6,Nov-24,10,Lifeline1
TABLE VIEW,21967.6,Nov-24,48,Home
WILDWOOD,8638.4,Nov-24,19,Home
TYGERDAL,5139.8,Nov-24,24,Domestic
CAPE TOWN CITY CENTRE,11315.7,Nov-24,34,Domestic
ESPIEGEL 7 SAXONSEA,285.4,Nov-24,1,Domestic
BELGRAVIA ESTATE,3948.3,Nov-24,15,Lifeline2
GREEN POINT,27592.5,Nov-24,24,Small Power 2
COLORADO PARK,2536.8,Nov-24,7,Lifeline2
101 HEINZ PARK,322.3,Nov-24,1,Lifeline2
WELGEDACHT/SPRINGFIELD,793.4,Nov-24,3,Domestic
WELTEVREDEN VALLEY,5057.3,Nov-24,8,Small Power 2
BO-KAAP,4255.6,Nov-24,13,Lifeline2
239 SIXTH AVENUE,2198.4,Nov-24,6,Domestic
JOE SLOVO PARK,739.4,Nov-24,2,Small Power 2
ATLANTIC VILLAGE,1800.1,Nov-24,7,Lifeline2
STRAND HALT,8965.2,Nov-24,30,Small Power 2
EXT 6     MFULENI,3092.8,Nov-24,19,Lifeline1
FLORIDA ,1338.5,Nov-24,4,Domestic
FIRLAND/STEENBRAS CATCHMENT AREA,4557.8,Nov-24,17,Domestic
PEERLESS PARK WES,3490.2,Nov-24,11,Domestic
MONTANA,2464.7,Nov-24,12,Lifeline1
CHRIS NISSEN PARK,2201.9,Nov-24,3,Domestic
OAKDALE(2),9555,Nov-24,9,Small Power 2
OOSTERZEE-BELLVILLE,9375.5,Nov-24,31,Domestic
MORNINGSTAR     DURBANVILLE,2117.2,Nov-24,7,Lifeline2
ALSWEG,1885.8,Nov-24,8,Domestic
LA CONCORDE,46368.4,Nov-24,73,Home
EXT 23     BELHAR,3100.2,Nov-24,10,Lifeline2
AVONDALE - PAROW,37778.6,Nov-24,10,Small Power 2
LONDON VILLAGE,2289.1,Nov-24,6,Domestic
SIRROCCO'S,5954.7,Nov-24,19,Home
PAARDEN EILAND,8192.8,Nov-24,16,Domestic
HAZENDALE ST,473.2,Nov-24,1,Domestic
PAROW INDUSTRIA,19915.4,Nov-24,33,Home
KLOOFZICHT,9465.4,Nov-24,26,Home
DEVILS PEAK,22853.1,Nov-24,52,Home
BLACKBIRD AVE,973.6,Nov-24,4,Domestic
WATERLOO 14 EXT13 S/SEA,490,Nov-24,1,Domestic
WINSLOW,6406.8,Nov-24,8,Small Power 2
PROTEA PARK - WESFLEUR,4523,Nov-24,12,Domestic
CAPRICORN,2867.3,Nov-24,10,Lifeline2
KRAAIFONTEIN,3559.2,Nov-24,18,Lifeline1
DE LA HAYE,12282.3,Nov-24,17,Small Power 2
SURREY ESTATE,8624.7,Nov-24,26,Lifeline2
JOE SLOVO,2899.2,Nov-24,19,Lifeline1
SPRINGBOK PARK,24493.6,Nov-24,48,Home
KALK BAY,33022.2,Nov-24,82,Home
STELLENBOSCH FARMSKUILS,7573.8,Nov-24,22,Home
BELMONT PARK,34176.1,Nov-24,6,Small Power 1
VILLAGE 2A,2957.6,Nov-24,14,Lifeline2
JOE SLOVO,1331.2,Nov-24,4,Domestic
GEORGE PARK,14842,Nov-24,4,Small Power 1
LAND EN ZEEZICHT,32631,Nov-24,69,Home
PROTEA PARK,24992.6,Nov-24,50,Home
BOUNA 11 SHERWOOD,191.8,Nov-24,1,Domestic
FAIRVIEW GOLF ESTATE,6275.9,Nov-24,20,Domestic
DE GOEDE HOOP,12227.7,Nov-24,20,Small Power 2
HAZELVIEW,16054.9,Nov-24,40,Home
CHRISMAR,11639.1,Nov-24,43,Lifeline2
MOUNTAINSIDE ESTATE,10484.2,Nov-24,44,Domestic
BERGVLIET,20654.6,Nov-24,24,Small Power 2
ZUURBURGWEG,293.9,Nov-24,1,Lifeline1
EVERSDAL EXT.4,1864.1,Nov-24,5,Domestic
KUILS RIVER,500.7,Nov-24,4,Domestic
EVERSDALE,7354.7,Nov-24,34,Domestic
SONNENDAL,35500.4,Nov-24,53,Home
MORGANS VILLAGE,1624.1,Nov-24,3,Home
RUITERSHOOGTE,24013.6,Nov-24,58,Home
ZEVENWACHT COUNTRY ESTATE,33697.2,Nov-24,52,Home
NDABENI,4219.6,Nov-24,19,Domestic
SWEET VALLEY,39349,Nov-24,35,Home
29 SCHWARTZWALD WAY,578.2,Nov-24,1,Domestic
NEWLANDS,11056.2,Nov-24,18,Small Power 2
LORUS RIVER,597.8,Nov-24,1,Domestic
KANANA,3705.1,Nov-24,9,Domestic
SONSTRAAL HEIGHTS,14104.2,Nov-24,51,Lifeline2
DURMONTE,9341,Nov-24,46,Domestic
KALKBAAI,1903.4,Nov-24,10,Lifeline2
OCEAN VIEW ,940,Nov-24,5,Lifeline1
DRURY RD,1139.3,Nov-24,5,Lifeline2
D'URBANVALE,1551.4,Nov-24,7,Domestic
OAKDALE(1),6405.8,Nov-24,16,Small Power 2
SURREY,4688.6,Nov-24,24,Lifeline1
EVERSDALE,22304.1,Nov-24,57,Home
JOE SLOVO,2742.5,Nov-24,10,Lifeline2
PEERLESS PARK OOS,5345.2,Nov-24,15,Domestic
ASANDA VILLAGE,2923.4,Nov-24,10,Lifeline2
MANENBERG ,1753.4,Nov-24,13,Lifeline1
30 JEANNE CRES,1188.1,Nov-24,1,Home
BELLE CONSTANTIA,52818.3,Nov-24,59,Home
MORGEN VILLAGE,807.7,Nov-24,3,Domestic
SOL PLAATJIES,1029.2,Nov-24,2,Domestic
PANORAMA,2876.6,Nov-24,9,Lifeline2
PLATTEKLOOF     PAROW,30935.8,Nov-24,53,Home
PAARDEN EILAND,24243.9,Nov-24,22,Home
PAROW NORTH     PAROW,19712.7,Nov-24,39,Home
THERONSINGEL,6725.9,Nov-24,22,Home
KIEWIET 1 ROBINVALE,436.8,Nov-24,1,Domestic
FIRLAND/STEENBRAS CATCHMENT AREA,7980.9,Nov-24,22,Home
KERKSTRAAT,4081.7,Nov-24,15,Home
MITCHELLS PLAIN ,2123.2,Nov-24,7,Home
AVONDALE(2),9868,Nov-24,3,Small Power 1
MILNERTON EXT.6,3217.7,Nov-24,7,Domestic
WEST LAKE,267,Nov-24,1,Domestic
LOURENSIA PARK,1823.1,Nov-24,4,Domestic
GORDONS STRAND ESTATE,12271.7,Nov-24,31,Home
MEYERHOF,9169.6,Nov-24,21,Home
BEACONVALE,25487.4,Nov-24,8,Small Power 1
BELRAIL,5392.2,Nov-24,23,Lifeline2
BEL OMBRE,54029.7,Nov-24,58,Home
CASABLANCA,6657.5,Nov-24,8,Home
DIEPRIVIER,11135.8,Nov-24,26,Small Power 2
BRACKENFELL SOUTH,11183.5,Nov-24,35,Lifeline2
GLENWOOD,5479.9,Nov-24,32,Domestic
BOUNA 7 SHERWOOD,253.2,Nov-24,1,Domestic
PINEHURST,18146.6,Nov-24,50,Domestic
MABILLEPARK,12421.3,Nov-24,25,Home
SIMON.S TOWN,2867.9,Nov-24,13,Lifeline2
MARCONI BEAM,10862.6,Nov-24,17,Domestic
BLOEMHOF STOCK,4698.4,Nov-24,18,Lifeline2
52 YORKSHIRE CRES,425.1,Nov-24,1,Domestic
BELLVILLE SOUTHG     BELLVILLE,357.9,Nov-24,1,Domestic
WELGEMOED,12488,Nov-24,15,Small Power 2
VREDENBERG - BELLVILLE,17543.6,Nov-24,36,Home
AZALEA 43 PROTEA PARK,137.2,Nov-24,1,Domestic
NOORDHAVEN,37252.8,Nov-24,58,Home
EXTENSION 12,1248.4,Nov-24,7,Lifeline2
JAGTERSHOF,3428.8,Nov-24,13,Domestic
PEERLESSPARK OOS,3044.6,Nov-24,7,Home
WESTRIDGE,7062,Nov-24,5,Small Power 2
HEATHFIELD 143 PROTEAPARK,253.6,Nov-24,1,Domestic
BARONETCY ESTATE,43882.4,Nov-24,48,Home
CASTALIS 23 PROTEA PARK,572.4,Nov-24,1,Domestic
TERNATE 9 EXT13 SAXONSEA,278.4,Nov-24,1,Lifeline2
MASIPHUMELE  SITE -5,3480.6,Nov-24,30,Lifeline1
WELCOME,4625.5,Nov-24,16,Lifeline2
VREDENBERG - BELLVILE,17042.4,Nov-24,43,Home
SIMON.S TOWN,3362.7,Nov-24,24,Lifeline1
BUH-REIN ESTATE,16362.9,Nov-24,38,Home
RICHMOND ESTATE,8203.4,Nov-24,25,Lifeline2
RONDEVLEI PARK,1632.6,Nov-24,6,Lifeline1
VOORBRUG,1035.5,Nov-24,3,Domestic
PAARDE VLEI,6747,Nov-24,15,Home
BONNIE BRAE,4122.8,Nov-24,13,Domestic
COLY LANE 8 ROBINVALE,325.8,Nov-24,1,Domestic
BRACKENFELL,11495.8,Nov-24,20,Small Power 2
KUILSRIVIER,51386.2,Nov-24,11,Small Power 1
HIGHBURY,3439.7,Nov-24,17,Lifeline1
2B2,3111.4,Nov-24,23,Lifeline1
SEA POINT,9361.6,Nov-24,48,Lifeline1
WESTLAKE,3164.3,Nov-24,14,Lifeline1
GUGULETU ,1514.8,Nov-24,6,Lifeline2
GOUDVELD 5 SHERWOOD,241.2,Nov-24,1,Domestic
PENLYN ESTATE,5000.9,Nov-24,20,Lifeline1
SIMONSTOWN,16506.2,Nov-24,62,Home
VANGURD ESTATE,537.9,Nov-24,1,Home
ROSENDAL,12157,Nov-24,25,Small Power 2
KLIPKOP,4713.3,Nov-24,23,Lifeline1
SANDDRIFT,4514.8,Nov-24,28,Lifeline1
IBOZA CLS 6 PROTEA PARK,455.7,Nov-24,1,Domestic
PAARDEN EILAND,41843.1,Nov-24,13,Small Power 1
COLORADO PARK,3459.3,Nov-24,12,Lifeline1
CAMPS BAY,8048.4,Nov-24,15,Small Power 2
PAROW EAST,27951.8,Nov-24,16,Small Power 1
EENSGEVONDEN,11173.4,Nov-24,33,Home
PAROW VALLEY,3798.9,Nov-24,9,Small Power 2
EXT.20     BELHAR,324.5,Nov-24,1,Domestic
MAMRE,6431.6,Nov-24,2,Small Power 1
BRACKENFELL INDUSTRIA,9838.9,Nov-24,6,Small Power 1
SCHAAP KRAAL,6332.1,Nov-24,11,Small Power 2
5 SYCAMORE CRES,105.1,Nov-24,1,Domestic
GOLDEN ACRE,28540.7,Nov-24,54,Home
FAME 8 SAXONSEA,287.4,Nov-24,1,Lifeline2
BELLVILLE,8323.8,Nov-24,18,Small Power 2
COURSER 34 ROBINVALE,185.2,Nov-24,1,Lifeline2
CURLEW 45 ROBINVALE,157.8,Nov-24,1,Domestic
GROENVALLEI     BELLVILLE,3378.8,Nov-24,10,Home
GLENLILY,11816.3,Nov-24,5,Small Power 1
BARLERIA 2 PROTEA PARK,425.5,Nov-24,1,Domestic
BEACONHILL,8567.6,Nov-24,17,Home
CAPRI,8091.4,Nov-24,18,Domestic
WINDSOR PARK ESTATE,6598.1,Nov-24,12,Small Power 2
DIEP RIVER,7090.1,Nov-24,16,Small Power 2
SPRINGBOKPARK,16395.3,Nov-24,31,Home
NIGHTINGALE 80 AVONDALE,542.7,Nov-24,1,Domestic
ROCKLANDS ,201.4,Nov-24,1,Lifeline2
DE TIJGER     PAROW,18497,Nov-24,36,Home
VASCO ESTATE,7173.3,Nov-24,40,Lifeline1
MORGENSTER,6635.4,Nov-24,18,Lifeline2
HARDEKRAALTJIE,3585.2,Nov-24,17,Lifeline2
STRAND ,6179.2,Nov-24,9,Home
GREENFIELDS,2994.1,Nov-24,22,Lifeline1
BERGZICHT     GOODWOOD,8855.5,Nov-24,36,Lifeline2
50 6TH AVE,179.4,Nov-24,1,Domestic
ARISTIA 3 PROTEA PARK,352.7,Nov-24,1,Domestic
LABIANCE    ,259.6,Nov-24,1,Home
GLENCAIRN,9607.5,Nov-24,37,Domestic
BIGNONIA 67 PROTEA PARK,523.7,Nov-24,1,Domestic
BELHAR EXT 21,1786.9,Nov-24,7,Lifeline1
PLATTEKLOOF GLEN     GOODWOOD,18019.8,Nov-24,43,Home
392 VOORTREKKER ROAD     GOODWOOD,1985,Nov-24,1,Small Power 2
ONVERWACHT - GORDONS BAY,10634.5,Nov-24,30,Home
NOTTINGHAM 175 SHERWOOD,609.7,Nov-24,1,Domestic
TOKAI,10465.1,Nov-24,38,Small Power 2
BELHAR EXT 20,2204.7,Nov-24,8,Lifeline1
PROTEA HEIGHTS,11252.5,Nov-24,21,Small Power 2
ELK 8 SHERWOOD,278.4,Nov-24,1,Domestic
CHURCHILL,4394.9,Nov-24,24,Lifeline1
GREENLANDS,2018.6,Nov-24,7,Home
CONISTON PARK,4359.1,Nov-24,22,Lifeline1
STRAND ,1823.6,Nov-24,14,Lifeline1
TUSCANY GLEN,3138,Nov-24,22,Lifeline1
GREENFIELDS     LWANDLE,1576.7,Nov-24,5,Domestic
LYSTER 68 ROBINVALE,366.8,Nov-24,1,Lifeline1
KESTREL WAY,234.1,Nov-24,2,Home
ROSEDALE - DURBANVILE,10802.7,Nov-24,40,Home
RETREAT INDUSTRIAL AREA,20032,Nov-24,46,Home
SEAWIND,1413.4,Nov-24,5,Domestic
VALHALLA PARK,8224.5,Nov-24,21,Home
BABBLERS 22 ROBINVALE,301.5,Nov-24,1,Domestic
NOTTINGHAM 86 SHERWOOD,429.4,Nov-24,1,Domestic
BRACKENFELL,34015.4,Nov-24,5,Small Power 1
PHILLIPI WEST,2237.7,Nov-24,8,Lifeline2
ROME,11988.4,Nov-24,26,Home
HOOP 94 SAXONSEA,134,Nov-24,1,Domestic
GUGULETU SOUTH,2122.6,Nov-24,11,Lifeline2
HOHENORT,64244.7,Nov-24,49,Home
WELGELEGEN,3804.2,Nov-24,9,Domestic
PAROW VALLEY,7742.9,Nov-24,2,Small Power 1
WETTON,6130.9,Nov-24,32,Lifeline1
VANGUARD,4024.2,Nov-24,17,Lifeline1
LLANDUDNO,4864.1,Nov-24,6,Domestic
MITCHELLS PLAIN CENTRE,10088.6,Nov-24,3,Small Power 1
ALPHEN,53893.6,Nov-24,47,Home
ROSEBANK,5444.6,Nov-24,18,Lifeline2
REDONDA HOF 11,416,Nov-24,1,Domestic
FAIRWAYS,4226.8,Nov-24,14,Domestic
VAN DER MERWE PARK,11780.2,Nov-24,25,Home
PALM LANE,1284.7,Nov-24,5,Lifeline2
TWIN PALMS,6857.4,Nov-24,35,Domestic
PIKKEWYN 3 ROBINVALE,94.6,Nov-24,1,Domestic
IMIZAMO YETHU,633.9,Nov-24,5,Home
KENSINGTON ,1705.6,Nov-24,3,Small Power 2
WESTRIDGE - MITCHELS PLA,2770.2,Nov-24,14,Lifeline1
SONNEKUIL,7276.5,Nov-24,25,Domestic
MONTREAL 130 BEACONHILL,244,Nov-24,1,Lifeline2
SEA WINDS,9935.5,Nov-24,22,Home
EDGEMEAD     GOODWOOD,3966.8,Nov-24,16,Domestic
THE VINES,35314.5,Nov-24,55,Home
PINEHURST KR,25776.6,Nov-24,50,Home
METEREN 16 AVONDALE,475.6,Nov-24,1,Domestic
EXT.19     BELHAR,1516.3,Nov-24,5,Domestic
RICHMOND ESTATE,6647.1,Nov-24,14,Small Power 2
5 TULIP STR,343.1,Nov-24,1,Domestic
HOUT BAY HARBOUR,16455.8,Nov-24,32,Home
MITCHELLS PLAIN CENTRE,1016.4,Nov-24,5,Lifeline2
KOMMETJIE,20070.8,Nov-24,42,Domestic
MONTEVIDEO,5229.4,Nov-24,18,Home
LOTUS RIVER CANAL,1957.7,Nov-24,18,Lifeline2
BELHAR EXT 18,190.5,Nov-24,1,Home
MAURITIUS 4 SAXONSEA,290.3,Nov-24,1,Domestic
PINATI ESTATE,5648.3,Nov-24,15,Small Power 2
OAKDENE,4549.7,Nov-24,16,Lifeline2
OUDE WESTHOF     BELLVILLE,15771.9,Nov-24,22,Home
NETREG,225.4,Nov-24,1,Domestic
HOOP 98 SAXONSEA,388.7,Nov-24,1,Domestic
ANTILLES/CAYMAN BEACH,9130.8,Nov-24,24,Home
BERGZICHT     GOODWOOD,8018.5,Nov-24,20,Home
HELDERBERG,1378.5,Nov-24,5,Lifeline2
SONSTRAAL     DURBANVILLE,23338.5,Nov-24,55,Home
LOTUS RIVER CANAL,2950.8,Nov-24,23,Lifeline1
NOORDHOEK,6599.9,Nov-24,25,Lifeline2
PROTEA VALLEY     BELLVILLE,214.4,Nov-24,1,Domestic
VREDEKLOOF,18365.9,Nov-24,14,Small Power 2
GERANIUM 20 PROTEA PARK,225.9,Nov-24,1,Lifeline2
BELLAIR,3308.3,Nov-24,12,Lifeline2
PELIKAN PARK(3),3705.5,Nov-24,12,Lifeline2
ERINVALE ESTATE,39686.6,Nov-24,61,Home
IKWEZI PARK,800.2,Nov-24,3,Lifeline2
OTTERY EAST,3173.6,Nov-24,15,Lifeline1
MITCHELLS PLAIN CENTRE,1560.5,Nov-24,7,Domestic
ROTTERDAM 84 AVONDALE,328.9,Nov-24,1,Domestic
SAREPTA,4025.4,Nov-24,6,Small Power 2
BROWN FARM,1344.8,Nov-24,4,Lifeline2
IMHOFF'S GIFT,14341.9,Nov-24,33,Home
LAKESIDE,8708.1,Nov-24,26,Lifeline2
NOOIENSFONTEIN,8157.8,Nov-24,19,Home
CAPE FARMS,22167.3,Nov-24,40,Home
CAPE TOWN CITY CENTE,4274.4,Nov-24,13,Domestic
VILLAGE 2A,2123.6,Nov-24,12,Lifeline1
VRYGROUND,564.3,Nov-24,1,Domestic
MANDELA PARK,973.2,Nov-24,6,Lifeline2
ROSEDALE,12615.5,Nov-24,40,Home
CAPE TOWN CITY CENTE,35937.7,Nov-24,8,Small Power 1
8TH AVENUE     RAVENSMEAD,634.2,Nov-24,2,Domestic
MONTAGUE GARDENS INDUSTRIAL,8722.4,Nov-24,19,Small Power 2
MEERMIN 116 AVONDALE,290.7,Nov-24,1,Domestic
PAROW SOUTH,2182.6,Nov-24,8,Domestic
TOKAI,6766.1,Nov-24,20,Lifeline2
BELLVILLE SOUTH   ,460,Nov-24,1,Domestic
DURBANVILLE,7785.3,Nov-24,38,Lifeline1
COLINE WILLIAMS ST,101.4,Nov-24,1,Domestic
BELLVILLE SOUTH     ,379.4,Nov-24,1,Lifeline1
VILLAGE 2B - KHAYELITSHA,406.3,Nov-24,4,Domestic
4 GROVE ST,98.2,Nov-24,1,Lifeline2
LWANDLE,2487.1,Nov-24,8,Small Power 2
HEATHERDALE,5769.4,Nov-24,17,Home
16 TULIP ST,235.3,Nov-24,1,Domestic
RONDEBOSCH,33517.5,Nov-24,10,Small Power 1
MARLOW,1255.4,Nov-24,8,Lifeline1
24 CONRAD ROAD,336.6,Nov-24,1,Domestic
GUGULETHU,1378.6,Nov-24,10,Lifeline1
SILVERGLADE,16399.6,Nov-24,43,Home
ATHLONE ,390.4,Nov-24,1,Domestic
ROYAL VILLAS,375.6,Nov-24,2,Domestic
NEW SCHEME,1330.9,Nov-24,5,Lifeline2
BLOEMHOF STREET,2541.4,Nov-24,8,Lifeline2
PEERS HILL,16533.2,Nov-24,39,Home
NEW SCHEME,1568.8,Nov-24,9,Lifeline1
